Adult,Dauer,Emb,L3L4,Larvae,WholeGenome
1.237593149,1.294832673,1.24243856,1.154685989,1.266047357,0.795684344
-1.379918759,-1.387648725,-1.352288425,-1.251592801,-1.320117193,-0.654143334
0.354033534,0.317741142,0.447389244,0.344453235,0.384961956,0.055454304
-1.467229937,-1.508673925,-1.486763383,-1.361821183,-1.535924258,-0.861998562
-0.931495623,-0.922227763,-0.918359989,-0.832842946,-0.912527825,-0.632176273
1.985846619,2.028177673,1.970478144,1.866916024,2.006595109,1.005011444
-1.337989338,-1.382323846,-1.307498447,-1.201682577,-1.275890694,-1.142579409
-1.086701981,-1.132568472,-1.074037821,-1.021724394,-1.10746338,-0.478108038
-0.515738571,-0.617924394,-0.496684678,-0.483261557,-0.589969932,-0.461667405
0.873670246,0.98966091,0.90511203,0.868473498,0.829573428,-0.064606759
-1.580342541,-1.631844596,-1.564154696,-1.485094955,-1.594317669,-0.802330051
1.095910866,1.162304485,1.040494497,1.007728688,1.008239825,1.195162972
-0.938339302,-0.952898271,-0.893099253,-0.781545712,-0.908201021,-0.973128769
2.281323126,2.259160816,2.256704849,2.105177475,2.247303222,1.350340695
0.439515639,0.539915901,0.439346472,0.413964615,0.443575093,0.605897433
-1.818205868,-1.910950158,-1.80253776,-1.713457791,-1.828372455,-0.879005091
-1.051595431,-1.119738009,-1.032013741,-1.008094892,-1.10437744,-0.351420023
-0.294331679,-0.263423436,-0.252374026,-0.258452779,-0.235800789,-0.179936432
3.36572385,3.599811212,3.441744775,3.241970241,3.472333275,1.626914767
-1.401919512,-1.380560141,-1.40249587,-1.257516927,-1.388317688,-0.925831805
0.155513199,0.193442912,0.156085356,0.285319128,0.228654499,-0.919409198
-1.738499515,-1.795894931,-1.717965804,-1.635048995,-1.733955095,-0.617215403
-0.538285924,-0.638660824,-0.503323376,-0.46041312,-0.54121919,-0.878876165
1.261018461,1.308421395,1.249464291,1.209154442,1.278768422,0.514727066
0.463685935,0.542858576,0.424979397,0.371429249,0.387842338,0.815416208
1.016283622,1.263912615,1.094086655,0.968771455,1.043262585,0.942039521
0.414166815,0.44955082,0.45326827,0.2856357,0.425262926,1.054435835
-0.90307201,-0.959930615,-0.859616735,-0.836041931,-0.953459866,-0.443149341
1.245570231,1.364475546,1.305108998,1.196455978,1.326700014,0.580639759
0.923128595,0.939052901,0.927833894,0.863532723,0.992227074,0.42083881
-1.357592172,-1.364475787,-1.319322453,-1.231729079,-1.323879197,-0.724378729
-0.732824712,-0.856102674,-0.696357247,-0.673681772,-0.744190467,-0.517206104
0.884029374,0.860833462,0.874264566,0.795916432,0.922316784,0.507837032
-1.380361941,-1.385037585,-1.355768994,-1.255327093,-1.343426468,-0.977014281
0.294052346,0.190445338,0.337396919,0.22673153,0.310192984,-0.155709168
1.610543305,1.753780141,1.62794969,1.562813084,1.686126518,0.640322332
-1.082450937,-1.153008086,-1.08664895,-0.978213259,-1.11817723,-0.846262337
-0.590152313,-0.608754281,-0.568706685,-0.566991787,-0.606704377,-0.316218154
-1.435030946,-1.471397926,-1.395475028,-1.293369953,-1.401921003,-0.974583399
-0.730210112,-0.805545326,-0.718565646,-0.63141377,-0.787264325,-0.975521364
