Adult,Dauer,Emb,L3_L4,Larvae,WhoGenome
0.143642326,0.176680082,0.145812498,0.071064152,0.149526724,0.698340919
-1.435656488,-1.469594739,-1.423248854,-1.355646304,-1.388219636,-0.440207356
0.366923294,0.336416145,0.46859802,0.369816895,0.402710733,0.205236653
0,0,0,0,0,0
-1.500369873,-1.569440157,-1.535344177,-1.448367956,-1.580857092,-0.605507282
0,0,0,0,0,0
-0.953652453,-0.958746755,-0.948693649,-0.886132408,-0.939237886,-0.473643532
0,0,0,0,0,0
2.03312156,2.110315327,2.037722494,1.988885445,2.067724841,0.773902017
0,0,0,0,0,0
-1.369080524,-1.43778685,-1.350890598,-1.277011655,-1.313358333,-0.993145879
0,0,0,0,0,0
-1.112079104,-1.17645534,-1.108852216,-1.087201867,-1.141540237,-0.40472358
-0.528978544,-0.642112414,-0.513903662,-0.516740503,-0.608727252,-0.219188958
0.893512307,1.034406104,0.93571291,0.923065772,0.852911135,0.084695347
0,0,0,0,0,0
-1.615397719,-1.697826642,-1.615691019,-1.579229481,-1.641614412,-0.614219351
0,0,0,0,0,0
1.119624851,1.209180129,1.074113463,1.070172958,1.037871421,1.084718851
-0.960258846,-0.991007529,-0.922211408,-0.831192454,-0.935596868,-0.803314146
0,0,0,0,0,0
2.335070752,2.348419897,2.331423752,2.239754602,2.314053503,1.095689986
0,0,0,0,0,0
0.450927206,0.558531635,0.450253921,0.440791911,0.457255365,0.578444243
-1.86325033,-1.99016782,-1.866643007,-1.828867325,-1.883359283,-0.695476305
-1.087421761,-1.167510781,-1.072764064,-1.070866784,-1.143606459,-0.219137972
-0.298137993,-0.274233134,-0.261586497,-0.268066304,-0.241232282,-0.200146705
3.453425682,3.756949047,3.563218176,3.467316504,3.593075773,1.435947833
0,0,0,0,0,0
-1.434729412,-1.435809446,-1.448458024,-1.337911307,-1.427756715,-0.76407722
0,0,0,0,0,0
0.159530017,0.199907249,0.161896945,0.305214794,0.236378869,-0.826263395
-1.782590969,-1.872615143,-1.778493932,-1.744324179,-1.786118252,-0.4004327
-0.552694847,-0.667773642,-0.522005987,-0.489762859,-0.557099571,-0.597489412
0,0,0,0,0,0
1.290489214,1.361146415,1.291551782,1.287571939,1.318329318,0.30124812
0,0,0,0,0,0
0.472187479,0.564711598,0.438893174,0.393793186,0.399224425,0.665500147
1.037337203,1.318018601,1.128504753,1.030010551,1.073338943,0.889899896
0.421708116,0.469250476,0.465913926,0.302442089,0.436701796,0.94641074
-0.927102074,-0.999623677,-0.889340143,-0.890820378,-0.982373652,-0.282081314
1.26975616,1.421558201,1.346424351,1.272167449,1.365864009,0.6354207
0,0,0,0,0,0
0.942735682,0.976100869,0.958287353,0.918212125,1.02144554,0.392338893
-1.392508814,-1.420436174,-1.363962185,-1.312160692,-1.364244738,-0.529766852
-0.753893137,-0.893637679,-0.720222456,-0.719012237,-0.767807498,-0.291976455
0,0,0,0,0,0
0.904709605,0.894549547,0.9019672,0.846215157,0.950386819,0.443440214
-1.412722165,-1.442869713,-1.400548648,-1.335915441,-1.383291985,-0.718693506
0.299115066,0.194801881,0.346199301,0.242213126,0.319213111,-0.053241566
0,0,0,0,0,0
1.647204073,1.825477817,1.682490157,1.662513171,1.738805845,0.586128171
-1.110153119,-1.200822317,-1.124841808,-1.044023852,-1.15262421,-0.628577451
-0.607736042,-0.634255939,-0.590232678,-0.606545674,-0.627257369,-0.144099227
0,0,0,0,0,0
-1.467827537,-1.530438292,-1.441406629,-1.375686968,-1.442526135,-0.805039784
0,0,0,0,0,0
-0.746704444,-0.837339833,-0.740853901,-0.671158197,-0.809402291,-0.726569831
0,0,0,0,0,0
